 2024-08-27 14:35:49,171 - 'f'
 2024-08-27 14:35:49,189 - 'k'
 2024-08-27 14:35:49,222 - 'd'
 2024-08-27 14:35:49,224 - 'j'
 2024-08-27 14:35:49,456 - 'd'
 2024-08-27 14:35:49,475 - 'k'
 2024-08-27 14:35:49,549 - 'l'
 2024-08-27 14:35:49,625 - 'j'
 2024-08-27 14:35:49,906 - 's'
 2024-08-27 14:35:50,072 - 'k'
 2024-08-27 14:35:50,086 - 'l'
 2024-08-27 14:35:50,263 - 'd'
 2024-08-27 14:35:50,282 - 'f'
 2024-08-27 14:35:50,588 - 'd'
 2024-08-27 14:35:50,651 - 'i'
 2024-08-27 14:35:50,954 - 'n'
 2024-08-27 14:35:51,056 - 'k'
 2024-08-27 14:35:51,219 - 'n'
 2024-08-27 14:35:51,292 - 'd'
 2024-08-27 14:35:51,319 - 'k'
 2024-08-27 14:35:52,198 - Key.ctrl_l
 2024-08-27 14:35:52,316 - Key.backspace
 2024-08-27 14:35:52,852 - 'k'
 2024-08-27 14:35:52,938 - 'j'
 2024-08-27 14:35:53,153 - 'f'
 2024-08-27 14:35:53,173 - 'd'
 2024-08-27 14:35:53,282 - 'k'
 2024-08-27 14:35:53,322 - 's'
 2024-08-27 14:35:53,332 - 'j'
 2024-08-27 14:35:53,672 - 's'
 2024-08-27 14:35:53,680 - 'd'
 2024-08-27 14:35:53,702 - 'f'
 2024-08-27 14:35:53,721 - 'h'
 2024-08-27 14:35:53,832 - 'o'
 2024-08-27 14:35:53,985 - 's'
 2024-08-27 14:35:54,221 - 's'
 2024-08-27 14:35:54,421 - Key.backspace
 2024-08-27 14:35:54,910 - Key.backspace
 2024-08-27 14:35:54,940 - Key.backspace
 2024-08-27 14:35:54,971 - Key.backspace
 2024-08-27 14:35:55,000 - Key.backspace
 2024-08-27 14:35:55,029 - Key.backspace
 2024-08-27 14:35:55,058 - Key.backspace
 2024-08-27 14:35:55,088 - Key.backspace
 2024-08-27 14:35:55,118 - Key.backspace
 2024-08-27 14:35:55,147 - Key.backspace
 2024-08-27 14:35:55,178 - Key.backspace
 2024-08-27 14:35:55,207 - Key.backspace
 2024-08-27 14:35:55,238 - Key.backspace
 2024-08-27 14:35:55,266 - Key.backspace
 2024-08-27 14:35:55,296 - Key.backspace
 2024-08-27 14:35:55,326 - Key.backspace
